Time [msec],xs,xr,ys,yr,Red,Green,Blue,dXs,dYs,dTime,dXr,dYr,Angle_s (deg),Angle_r (deg),Angle_c (deg),Distance_s (m),Distance_r (m)
0,0.0,0.453,0,0.843,255,255,255,,,,,,,,,,
250,0.0103,0.453,0,0.843,255,255,255,0.0103,0.0,0.25,0.0,0.0,0.0,0.0,,0.0103,0.0
500,0.0481,0.425,0,0.895,255,255,255,0.0378,0.0,0.25,-0.028000000000000025,0.052000000000000046,0.0,118.30075576600638,0.0,0.0378,0.059059292240933654
750,0.1109,0.442,0,0.882,255,255,255,0.0628,0.0,0.25,0.017000000000000015,-0.013000000000000012,0.0,-37.40535663140855,-9.363328209837164,0.0628,0.021400934559032716
1000,0.1954,0.484,0,0.875,255,255,255,0.08449999999999999,0.0,0.25,0.04199999999999998,-0.007000000000000006,0.0,-9.462322208025629,22.385861441394,0.08449999999999999,0.04257933771208752
1250,0.2988,0.486,0,0.924,255,255,255,0.10340000000000002,0.0,0.25,0.0020000000000000018,0.049000000000000044,0.0,87.66269414087618,-9.074419127617666,0.10340000000000002,0.04904079934095696
1500,0.4178,0.564,0,0.918,255,255,255,0.119,0.0,0.25,0.07799999999999996,-0.006000000000000005,0.0,-4.398705354995538,-10.721731374379985,0.119,0.07823042886243174
1750,0.5493,0.677,0,0.831,255,255,255,0.1315,0.0,0.25,0.1130000000000001,-0.08700000000000008,0.0,-37.59308787150477,12.648502461668183,0.1315,0.14261135999632019
2000,0.6904,0.709,0,0.842,255,255,255,0.1411,0.0,0.25,0.03199999999999992,0.01100000000000001,0.0,18.970407808486605,-2.3982887301277245,0.1411,0.03383784863137719
2250,0.8379,0.811,0,0.815,255,255,255,0.14749999999999996,0.0,0.25,0.10200000000000009,-0.027000000000000024,0.0,-14.826479970355665,-12.192951074744489,0.14749999999999996,0.10551303237041394
2500,0.9888,0.891,0,0.732,255,255,255,0.15090000000000003,0.0,0.25,0.07999999999999996,-0.08299999999999996,0.0,-46.054404503521845,0.9126706248227023,0.15090000000000003,0.1152779250333731
2750,1.1399,0.929,0,0.812,255,255,255,0.1510999999999999,0.0,0.25,0.038000000000000034,0.08000000000000007,0.0,64.59228189105153,-2.9301755572675106,0.1510999999999999,0.0885663593019382
3000,1.2882,0.933,0,0.818,255,255,255,0.1483000000000001,0.0,0.25,0.0040000000000000036,0.005999999999999894,0.0,56.309932474019725,-16.20776865904527,0.1483000000000001,0.007211102550927893
3250,1.4305,0.964,0,0.852,255,255,255,0.1423000000000001,0.0,0.25,0.030999999999999917,0.03400000000000003,0.0,47.642545294064824,2.681352478531288,0.1423000000000001,0.046010868281309326
3500,1.5639,1.011,0,0.85,255,255,255,0.13339999999999996,0.0,0.25,0.04699999999999993,-0.0020000000000000018,0.0,-2.4366482468101363,1.737281420297002,0.13339999999999996,0.047042533945356235
3750,1.6852,1.073,0,0.877,255,255,255,0.12129999999999996,0.0,0.25,0.062000000000000055,0.027000000000000024,0.0,23.532348560901013,2.4724214904103587,0.12129999999999996,0.0676239602507869
4000,1.7914,1.146,0,0.866,255,255,255,0.10620000000000007,0.0,0.25,0.07299999999999995,-0.01100000000000001,0.0,-8.569141879837655,-9.048686069342565,0.10620000000000007,0.07382411530116696
4250,1.8794,1.195,0,0.832,255,255,255,0.08799999999999986,0.0,0.25,0.049000000000000155,-0.03400000000000003,0.0,-34.755912553541314,-2.1670420663958776,0.08799999999999986,0.059640590204993925
4500,1.946,1.274,0,0.83,255,255,255,0.06659999999999999,0.0,0.25,0.07899999999999996,-0.0020000000000000018,0.0,-1.4502162909334302,-5.906830256326618,0.06659999999999999,0.07902531240052135
4750,1.9882,1.298,0,0.84,255,255,255,0.042200000000000015,0.0,0.25,0.02400000000000002,0.010000000000000009,0.0,22.619864948040426,-12.723804767383445,0.042200000000000015,0.026000000000000023
5000,2.003,1.371,0,0.862,255,255,255,0.014800000000000146,0.0,0.25,0.07299999999999995,0.02200000000000002,0.0,16.771223818630443,-8.178292288669503,0.014800000000000146,0.07624303246854754
