Time [msec],xs,xr,ys,yr,Red,Green,Blue,dXs,dYs,dTime,dXr,dYr,Angle_s (deg),Angle_r (deg),Angle_c (deg),Distance_s (m),Distance_r (m)
0,0.0,0.58,0,1.08,255,255,255,,,,,,,,,,
250,0.0103,0.58,0,1.08,255,255,255,0.0103,0.0,0.25,0.0,0.0,0.0,0.0,,0.0103,0.0
500,0.0481,0.551,0,1.005,255,255,255,0.0378,0.0,0.25,-0.028999999999999915,-0.07500000000000018,0.0,-111.13982480865756,0.0,0.0378,0.08041144197189865
750,0.1109,0.58,0,0.963,255,255,255,0.0628,0.0,0.25,0.028999999999999915,-0.041999999999999926,0.0,-55.37584492005108,8.497356615867616,0.0628,0.05103920062069927
1000,0.1954,0.562,0,1.04,255,255,255,0.08449999999999999,0.0,0.25,-0.017999999999999905,0.07700000000000007,0.0,103.15754274001473,-14.374484734926341,0.08449999999999999,0.0790759128938769
1250,0.2988,0.581,0,1.038,255,255,255,0.10340000000000002,0.0,0.25,0.018999999999999906,-0.0020000000000000018,0.0,-6.00900595749456,-13.431831544791564,0.10340000000000002,0.019104973174542707
1500,0.4178,0.648,0,1.008,255,255,255,0.119,0.0,0.25,0.06700000000000006,-0.030000000000000027,0.0,-24.120983119442585,19.56301394308509,0.119,0.07340980860893188
1750,0.5493,0.803,0,1.066,255,255,255,0.1315,0.0,0.25,0.15500000000000003,0.05800000000000005,0.0,20.515524873076476,2.4747463162007897,0.1315,0.16549622352186774
2000,0.6904,0.91,0,1.106,255,255,255,0.1411,0.0,0.25,0.10699999999999998,0.040000000000000036,0.0,20.497340548001848,-3.4328761705598616,0.1411,0.11423221962301179
2250,0.8379,0.957,0,1.033,255,255,255,0.14749999999999996,0.0,0.25,0.04699999999999993,-0.07300000000000018,0.0,-57.225122675735854,3.5658674496064826,0.14749999999999996,0.08682165628459307
2500,0.9888,1.018,0,0.992,255,255,255,0.15090000000000003,0.0,0.25,0.061000000000000054,-0.040999999999999925,0.0,-33.90627698844208,8.98150512946146,0.15090000000000003,0.07349829930005183
2750,1.1399,1.036,0,0.958,255,255,255,0.1510999999999999,0.0,0.25,0.018000000000000016,-0.03400000000000003,0.0,-62.10272896905237,-5.547604370152634,0.1510999999999999,0.03847076812334272
3000,1.2882,1.053,0,0.919,255,255,255,0.1483000000000001,0.0,0.25,0.016999999999999904,-0.038999999999999924,0.0,-66.44773632710542,3.5495831144086836,0.1483000000000001,0.04254409477236519
3250,1.4305,1.108,0,0.879,255,255,255,0.1423000000000001,0.0,0.25,0.05500000000000016,-0.040000000000000036,0.0,-36.02737338510355,-1.3092044275880426,0.1423000000000001,0.06800735254367737
3500,1.5639,1.119,0,0.864,255,255,255,0.13339999999999996,0.0,0.25,0.010999999999999899,-0.015000000000000013,0.0,-53.74616226255549,-2.6692186163927047,0.13339999999999996,0.018601075237738227
3750,1.6852,1.165,0,0.856,255,255,255,0.12129999999999996,0.0,0.25,0.04600000000000004,-0.008000000000000007,0.0,-9.865806943084367,6.40588699687661,0.12129999999999996,0.04669047011971505
4000,1.7914,1.216,0,0.854,255,255,255,0.10620000000000007,0.0,0.25,0.050999999999999934,-0.0020000000000000018,0.0,-2.2457425658950765,0.2624892799647416,0.10620000000000007,0.05103920062069932
4250,1.8794,1.267,0,0.857,255,255,255,0.08799999999999986,0.0,0.25,0.050999999999999934,0.0030000000000000027,0.0,3.3664606634298084,8.476854336102697,0.08799999999999986,0.05108815909777914
4500,1.946,1.318,0,0.881,255,255,255,0.06659999999999999,0.0,0.25,0.051000000000000156,0.02400000000000002,0.0,25.201123645475025,9.58887062098169,0.06659999999999999,0.056364882684167956
4750,1.9882,1.336,0,0.875,255,255,255,0.042200000000000015,0.0,0.25,0.018000000000000016,-0.006000000000000005,0.0,-18.43494882292201,8.937550176098092,0.042200000000000015,0.018973665961010293
5000,2.003,1.415,0,0.891,255,255,255,0.014800000000000146,0.0,0.25,0.07899999999999996,0.016000000000000014,0.0,11.449337988500048,15.357158405596962,0.014800000000000146,0.08060397012554651
