,timestamp,target_x,target_y,target_x_scale,target_y_scale,rover_x,rover_y,rover_x_scale,rover_y_scale,transform_vel_x,transform_vel_y,cont_action_x,cont_action_y,angle,flipped_angle,delta_x,delta_y,time_difference,distance_to_target
0,20240823122046.164,1000,250,15.0,-15.0,220.44915254237287,480.79860418743766,-31.773050847457625,12.695832502492522,0.0,0.0,1.0,-1.0,-45.0,45.0,0.0,0.0,0.0,
1,20240823122054.614,1000,250,15.0,-15.0,231.46552367344935,488.7622198804477,-31.112068579593036,13.65146638565372,1.303712559890708,0.9424397269834336,1.0,-1.0,-45.0,45.0,11.016371131076482,7.963615693010013,8.45,812.9990894624509
2,20240823122054.926,1000,250,15.0,-15.0,229.64770302866907,477.2628479651815,-31.221137818279857,12.27154175582178,5.826348220449627,36.856961266878784,1.0,-1.0,-45.0,45.0,-1.8178206447802836,-11.499371915266181,0.312,804.7686866079996
3,20240823122055.245,1000,250,15.0,-15.0,235.0037309367205,458.99857027253773,-30.89977614379677,10.079828432704524,16.790056138092257,57.25478900515285,1.0,-1.0,-45.0,45.0,5.356027908051431,-18.26427769264376,0.319,803.1756118771602
4,20240823122055.541,1000,250,15.0,-15.0,247.58237853629115,436.2847310042569,-30.14505728782253,7.35416772051083,42.495431079630556,76.7359434739217,1.0,-1.0,-45.0,45.0,12.578647599570644,-22.71383926828082,0.296,793.0319628216143
5,20240823122055.820,1000,250,15.0,-15.0,271.311380841619,404.13555123107875,-28.72131714950286,3.496266147729443,85.05018747429332,115.23003502931239,1.0,-0.8794810175895691,-41.33101272583008,41.33101272583008,23.72900230532784,-32.14917977317816,0.279,775.1350063662675
6,20240823122056.100,1000,250,15.0,-15.0,300.83225268481084,374.3762711426853,-26.95006483891135,-0.07484746287777,105.43168515425661,106.2831431728337,1.0,-0.7532919049263,-36.99041748046875,36.99041748046875,29.520871843191856,-29.75928008839344,0.28,744.8119707981717
7,20240823122056.440,1000,250,15.0,-15.0,324.1937945258853,346.8018050279948,-25.54837232844688,-3.3837833966406237,68.71041717963082,81.10137092556027,1.0,-0.6267580986022949,-32.0777587890625,32.0777587890625,23.361541841074484,-27.574466114690495,0.34,710.1443485018768
8,20240823122056.718,1000,250,15.0,-15.0,343.544334364325,328.5703737252086,-24.3873399381405,-5.571555152974966,69.60625841165344,65.58068813951883,1.0,-0.5423068404197693,-28.47127914428711,28.47127914428711,19.35053983843966,-18.231431302786234,0.278,682.7039012734577
9,20240823122057.064,1000,250,15.0,-15.0,360.1732236848037,317.41775843270517,-23.389606578911778,-6.909868988075381,48.06037375860902,32.23299217486536,1.0,-0.4898148775100708,-26.096298217773438,26.096298217773438,16.62888932047872,-11.152615292503413,0.346,661.1409415340243
10,20240823122057.349,1000,250,15.0,-15.0,384.10013221391233,299.0233938759209,-21.95399206716526,-9.1171927348895,83.95406501441626,64.54163002380456,1.0,-0.3969203531742096,-21.649133682250977,21.649133682250977,23.92690852910863,-18.394364556784296,0.285,643.3688349943498
11,20240823122057.629,1000,250,15.0,-15.0,412.41216594302034,272.0506521661943,-20.255270043418783,-12.353921740056684,101.11440617538574,96.33122039188058,1.0,-0.26062116026878357,-14.60754680633545,14.60754680633545,28.31203372910801,-26.972741709726563,0.28,617.8478293933175
12,20240823122057.912,1000,250,15.0,-15.0,442.52439644189485,241.48592191498523,-18.44853621348631,-16.021689370201774,106.4036413387792,108.00258039296497,1.0,-0.1136569157242775,-6.484235763549805,6.484235763549805,30.11223049887451,-30.564730251209085,0.283,588.0014404682418
13,20240823122058.194,1000,250,15.0,-15.0,474.92724944581244,211.48784832876873,-16.504365033251254,-19.621458200547753,114.90373405644534,106.37614746885282,1.0,0.018487773835659027,1.0591506958007812,-1.0591506958007812,32.402853003917585,-29.998073586216492,0.282,557.5406156398934
14,20240823122058.527,1000,250,15.0,-15.0,507.5783476616232,181.54949747999999,-14.54529914030261,-23.2140603024,98.05134599342567,89.90495750381005,1.0,0.15103448927402496,8.588724136352539,-8.588724136352539,32.65109821581075,-29.93835084876875,0.333,526.4832183468795
15,20240823122058.811,1000,250,15.0,-15.0,536.6866978884735,156.92665018319127,-12.798798126691587,-26.168801978017047,102.49419093961392,86.70016653805887,1.0,0.18380968272686005,10.415260314941406,-10.415260314941406,29.108350226850348,-24.622847296808715,0.284,497.1564693201707
16,20240823122059.145,1000,250,15.0,-15.0,563.5218815908974,136.68638345439865,-11.188687104546162,-28.59763398547216,80.34486138450245,60.59960098440904,1.0,0.36318182945251465,19.960100173950195,-19.960100173950195,26.83518370242382,-20.24026672879262,0.334,472.56942808396803
17,20240823122059.509,1000,250,15.0,-15.0,597.5353057280415,125.41951982652748,-9.147881656317509,-29.9496576208167,93.44347290424223,30.952922054591138,1.0,0.48785921931266785,26.005859375,-26.005859375,34.01342413714417,-11.266863627871174,0.364,450.94691876604963
18,20240823122059.787,1000,250,15.0,-15.0,635.8819728449589,120.51048167655976,-6.8470816293024654,-30.538742198812827,137.9376514997028,17.65841061139465,1.0,0.5812893509864807,30.168977737426758,-30.168977737426758,38.34666711691739,-4.909038149967714,0.278,421.30526483260803
19,20240823122100.129,1000,250,15.0,-15.0,679.6269179084575,123.77756658269884,-4.222384925492555,-30.146692010076137,127.90919609210106,9.552879842511915,1.0,0.6350061297416687,32.415794372558594,-32.415794372558594,43.74494506349856,3.2670849061390754,0.342,386.45759541625756
